전철역명,X좌표,Y좌표
이태원,498620,1120045
한강진,500155,1121477
버티고개,501220,1123845
창신,503160,1132590
안암,506240,1134387
고려대,507807,1135480
월곡,508970,1138772
상월곡,510502,1140015
돌곶이,512415,1141217
화랑대,518457,1143835
봉화산,520005,1143042
장암,511532,1165895
수락산,512022,1159800
마들,512587,1156285
중계,514005,1150745
하계,514942,1148310
먹골,516982,1141245
중화,517345,1138885
면목,519095,1135127
사가정,519355,1132955
용마산,519027,1131010
중곡,518432,1128785
어린이대공원,516326,1123811
뚝섬유원지,514630,1119362
청담,511695,1115877
학동,506875,1114372
논현,504607,1113585
반포,502410,1112792
내방,498380,1107067
남성,493425,1106212
숭실대입구,489665,1109427
장승배기,486295,1111810
신대방삼거리,483905,1110495
보라매,482252,1110542
신풍,479802,1110590
남구로,474900,1106587
철산,470762,1103950
광명사거리,467782,1104757
천왕,464220,1106935
까치울,458020,1112272
부천종합운동장,455120,1111972
춘의,452720,1111572
신중동,450320,1111472
부천시청,447620,1111872
상동,445320,1112172
삼산체육관,442720,1112472
굴포천,440720,1112472
암사,528032,1124410
강동구청,526464,1118973
몽촌토성,524665,1115335
석촌,523577,1112057
송파,524542,1110377
문정,526900,1106552
장지,527750,1104572
산성,532892,1098445
남한산성입구,535225,1097102
단대오거리,534430,1095327
신흥,532420,1094155
수진,530897,1093162
귤현,442922,1128840
임학,442125,1123022
계산,439762,1122675
경인교대입구,438555,1121145
작전,438570,1119005
갈산,438274,1115301
부평시장,438337,1110062
동수,437695,1106492
부평삼거리,435765,1104420
간석오거리,435212,1101395
예술회관,433617,1096297
인천터미널,433307,1094520
문학경기장,433030,1092422
선학,433222,1090365
신연수,432092,1087825
동춘,429241,1084081
동막,427474,1082340
캠퍼스타운,425000,1079640
테크노파크,423720,1077970
지식정보단지,421500,1076640
인천대입구,420000,1079040
개화,455020,1132300
공항시장,458100,1128200
신방화,459400,1129200
마곡나루,461700,1129100
양천향교,464880,1129370
가양,467700,1127500
증미,469000,1126600
등촌,470000,1124700
염창,472150,1123550
신목동,474030,1122700
선유도,476232,1121000
국회의사당,481632,1118278
샛강,483932,1115178
노들,489532,1114078
흑석,491832,1112978
구반포,497032,1110978
신반포,499032,1111478
사평,503232,1111740
신논현,505392,1111790
언주,507392,1112490
삼성중앙,511392,1113890
봉은사,513192,1114390
청라국제도시,416682,1126230
운서,387922,1108780
공항화물청사,384282,1099430
인천국제공항,378682,1096230
영종,387922,1108780
양재시민의숲,508350,1102150
김량장,543900,1037700
운동장·송담대,546300,1037800
고진,547400,1039700
보평,548400,1043700
둔전,547400,1045900
전대·에버랜드,548800,1051000
발곡,511590,1173570
범골,509590,1174070
경전철의정부,509590,1176320
의정부시청,507590,1176820
흥선,508090,1177950
의정부중앙,510990,1178050
동오,512490,1178550
새말,513990,1179480
경기도청북부청사,515700,1180050
효자,517000,1180930
곤제,518200,1179980
어룡,518600,1177780
송산,519100,1176280
강남대,527800,1046600
지석,530200,1046500
어정,531700,1048000
동백,533700,1046500
초당,535500,1044100
삼가,537300,1039000
시청·용인대,539500,1038300
명지대,542100,1037900
